providerName	opened	reason	disposition	conclusion	amountPayed	insuranceDate
LM General Insurance Company	06-08-2018	Premium and Rating	Satisfied	Furnished Information	21047	24-08-2013
LM General Insurance Company	10-17-2016	Marketing-Sales	Furnished Information	Unjustified	11064	03-10-2014
LM General Insurance Company	11-17-2016	Premium and Rating	Furnished Information	Voluntary Reconsider	20064	10-07-2013
LM General Insurance Company	12-09-2016	Premium and Rating	Contract Provision	Unjustified	11056	28-01-2015
LM General Insurance Company	12-30-2016	Premium and Rating	Contract Provision	Unjustified	11061	14-02-2018
LM Insurance Corporation	03-17-2017	Marketing-Sales	Furnished Information	Unjustified	11060	29-09-2013
LM Insurance Corporation	04-05-2017	Premium and Rating	Corrective Action	Justified	9051	11-09-2016
LM Insurance Corporation	04-06-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11057	21-05-2014
LM Insurance Corporation	04-11-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21055	21-05-2014
LM Insurance Corporation	09-27-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11062	01-03-2017
LM Insurance Corporation	10-02-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11057	07-03-2016
LM Insurance Corporation	10-03-2017	Unfair Claims Practice	Refer-Judicial-Attorney	Unjustified	11057	07-11-2013
LM Insurance Corporation	04-25-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21052	22-09-2017
LM Insurance Corporation	05-04-2017	Unfair Claims Practice	Corrective Action	Justified	9050	09-12-2016
LM Insurance Corporation	05-04-2017	Unfair Claims Practice	Corrective Action	Justified	9051	02-08-2016
LM Insurance Corporation	05-16-2017	Unfair Claims Practice	Additional Money Received	Furnished Information	21064	27-08-2014
LM Insurance Corporation	06-07-2017	Marketing-Sales	Company Position Upheld	Unjustified	11057	19-08-2013
LM Insurance Corporation	07-11-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21055	26-03-2016
LM Insurance Corporation	09-27-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11062	11-12-2017
LM Insurance Corporation	12-23-2014	Unfair Claims Practice	Furnished Information	No Authority	12060	27-12-2015
LM Insurance Corporation	01-29-2015	Unfair Claims Practice	Contract Provision	Unjustified	11057	26-09-2014
LM Insurance Corporation	02-18-2015	Unfair Claims Practice	Additional Money Received	Justified	9064	03-07-2015
LM Insurance Corporation	02-19-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11062	30-11-2015
LM Insurance Corporation	05-14-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11062	04-06-2013
LM Insurance Corporation	05-27-2015	Premium and Rating	Company Position Upheld	Unjustified	11062	30-03-2014
LM Insurance Corporation	06-02-2015	Unfair Claims Practice	Claim Settled	Unjustified	11047	07-07-2016
LM Insurance Corporation	06-02-2015	Unfair Claims Practice	Claim Settled	Unjustified	11047	15-07-2016
LM Insurance Corporation	06-16-2015	Unfair Claims Practice	Contract Violation	Unjustified	11057	11-05-2013
LM Insurance Corporation	06-25-2015	Unfair Claims Practice	Claim Settled	Questionable	12052	25-01-2014
LM Insurance Corporation	07-13-2015	Unfair Claims Practice	Claim Settled	Unjustified	11052	07-06-2014
LM Insurance Corporation	07-14-2015	Unfair Claims Practice	Contract Provision	Unjustified	11057	03-11-2016
LM Insurance Corporation	07-24-2015	Marketing-Sales	Corrective Action	Justified	9056	16-01-2017
LM Insurance Corporation	07-24-2015	Premium and Rating	Corrective Action	Justified	9056	01-10-2014
LM Insurance Corporation	08-20-2015	Premium and Rating	Company Position Upheld	Unjustified	11062	16-05-2016
LM Insurance Corporation	08-31-2015	Unfair Claims Practice	Claim Settled	Unjustified	11052	17-11-2017
LM Insurance Corporation	10-16-2015	Unfair Claims Practice	Corrective Action	Justified	9056	22-04-2013
LM Insurance Corporation	10-20-2015	Premium and Rating	Company Position Upheld	Unjustified	11062	13-12-2013
Madison National Life Insurance Company, Inc.	10-22-2015	Premium and Rating	Company Position Upheld	Unjustified	11082	10-08-2015
Main Street America Assurance Company	11-16-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	22-12-2013
Main Street America Assurance Company	11-23-2015	Underwriting	Company Position Upheld	Unjustified	11075	10-03-2016
Main Street America Assurance Company	11-30-2015	Unfair Claims Practice	Claim Settled	Unjustified	11065	09-01-2016
Main Street America Assurance Company	11-30-2015	Unfair Claims Practice	Contract Provision	Unjustified	11070	05-07-2013
Main Street America Assurance Company	12-21-2015	Premium and Rating	Premium Refund	Justified	9066	17-04-2017
Main Street America Assurance Company	12-22-2015	Premium and Rating	Premium Refund	Unjustified	11066	03-05-2013
Main Street America Assurance Company	12-31-2015	Underwriting	Cancellation Withdrawn	Voluntary Reconsider	20074	16-12-2015
Main Street America Assurance Company	03-08-2016	Underwriting	Company Position Upheld	Unjustified	11070	25-09-2014
Main Street America Assurance Company	03-31-2016	Underwriting	Cancellation Upheld	Unjustified	11071	26-03-2015
Main Street America Assurance Company	04-13-2016	Unfair Claims Practice	Contract Provision	Unjustified	11070	14-06-2015
Main Street America Assurance Company	04-19-2016	Underwriting	Non-Renewal Upheld	Unjustified	11070	06-09-2017
Main Street America Assurance Company	05-03-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	09-02-2015
Main Street America Assurance Company	05-17-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	03-01-2017
Main Street America Assurance Company	06-29-2016	Unfair Claims Practice	Refer To Appraisal	Unjustified	11070	16-11-2016
Main Street America Assurance Company	06-29-2016	Unfair Claims Practice	Refer To Appraisal	Unjustified	11070	14-12-2017
Main Street America Assurance Company	09-27-2016	Underwriting	Cancellation Upheld	Unjustified	11071	26-03-2013
Main Street America Assurance Company	01-31-2018	Unfair Claims Practice	Claim Settled	Justified	9065	07-06-2015
Mapfre Insurance Company	10-19-2016	Unfair Claims Practice	Claim Settled	Justified	9052	09-06-2016
Mapfre Insurance Company	11-28-2016	Premium and Rating	Company Position Upheld	Unjustified	11062	26-08-2017
Mapfre Insurance Company	12-16-2016	Marketing-Sales	Company Position Upheld	Unjustified	11062	07-08-2014
Mapfre Insurance Company	01-20-2017	Premium and Rating	Corrective Action	Justified	9056	12-01-2014
Mapfre Insurance Company	02-15-2017	Marketing-Sales	Company Position Upheld	Unjustified	11062	13-02-2015
Mapfre Insurance Company	04-24-2017	Unfair Claims Practice	Claim Settled	Unjustified	11052	06-04-2016
Markel Insurance Company	05-10-2017	Unfair Claims Practice	Contract Provision	Unjustified	11052	18-05-2016
Massachusetts Bay Insurance Company	05-12-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	20-07-2017
Massachusetts Bay Insurance Company	05-31-2017	Unfair Claims Practice	Corrective Action	Justified	9067	21-02-2013
Massachusetts Bay Insurance Company	06-05-2017	Marketing-Sales	Corrective Action	Justified	9062	15-02-2017
Massachusetts Bay Insurance Company	06-15-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19069	14-11-2017
Massachusetts Bay Insurance Company	06-23-2017	Underwriting	Cancellation Upheld	Unjustified	11069	25-08-2014
Massachusetts Bay Insurance Company	06-29-2017	Unfair Claims Practice	Corrective Action	Justified	9067	04-07-2015
Massachusetts Homeland Insurance Company	08-26-2015	Underwriting	Policy Not In Force	Unjustified	11074	25-03-2017
Massachusetts Homeland Insurance Company	02-19-2016	Premium and Rating	Company Position Upheld	Unjustified	11078	21-05-2016
Massachusetts Homeland Insurance Company	05-03-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	01-06-2016
Massachusetts Homeland Insurance Company	05-10-2016	Premium and Rating	Corrective Action	Justified	9067	08-05-2016
Massachusetts Homeland Insurance Company	05-25-2016	Marketing-Sales	Company Position Upheld	Unjustified	11078	12-02-2018
Massachusetts Homeland Insurance Company	05-27-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	17-10-2013
Massachusetts Homeland Insurance Company	08-23-2016	Premium and Rating	Company Position Upheld	Unjustified	11078	10-12-2017
Massachusetts Homeland Insurance Company	09-02-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	27-08-2015
Massachusetts Homeland Insurance Company	10-05-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	03-09-2017
Massachusetts Homeland Insurance Company	10-24-2016	Unfair Claims Practice	Enter Arbitration	Unjustified	11072	11-11-2016
Massachusetts Homeland Insurance Company	04-24-2017	Unfair Claims Practice	No Cause For Action	Unjustified	11074	02-03-2017
Massachusetts Homeland Insurance Company	05-18-2017	Premium and Rating	Company Position Upheld	Unjustified	11078	16-01-2017
Massachusetts Homeland Insurance Company	06-23-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	01-03-2015
Massachusetts Homeland Insurance Company	09-23-2015	Unfair Claims Practice	Furnished Information	Unjustified	11075	16-09-2013
Massachusetts Homeland Insurance Company	03-28-2011	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	14-09-2017
Massachusetts Homeland Insurance Company	05-07-2012	FOI Inquiry	Furnished Information	Furnished Information	21071	22-03-2014
Massachusetts Homeland Insurance Company	11-03-2014	Unfair Claims Practice	Company Position Upheld	Unjustified	11073	16-07-2015
Massachusetts Homeland Insurance Company	12-18-2014	Underwriting	Cancellation Withdrawn	Justified	9077	28-07-2014
Massachusetts Homeland Insurance Company	02-09-2015	Unfair Claims Practice	Contract Provision	Unjustified	11068	12-05-2016
ConnectiCare Benefits, Inc.	02-18-2015	Underwriting	Cancellation Withdrawn	Unjustified	11064	27-09-2015
Massachusetts Mutual Life Insurance Company	03-12-2015	Premium and Rating	Corrective Action	Justified	9070	05-08-2013
Massachusetts Mutual Life Insurance Company	03-23-2015	Unfair Claims Practice	Corrective Action	Justified	9075	12-06-2016
Massachusetts Mutual Life Insurance Company	03-23-2015	Premium and Rating	Company Position Upheld	Unjustified	11081	28-02-2013
Massachusetts Mutual Life Insurance Company	03-30-2015	Unfair Claims Practice	Contract Provision	Unjustified	11076	03-09-2017
Massachusetts Mutual Life Insurance Company	04-08-2015	Unfair Claims Practice	Claim Settled	Unjustified	11066	02-12-2017
Massachusetts Mutual Life Insurance Company	04-20-2015	Underwriting	Non-Renewal Upheld	Unjustified	11076	17-04-2016
Massachusetts Mutual Life Insurance Company	04-24-2015	Underwriting	Cancellation Upheld	Unjustified	11077	27-12-2017
MedAmerica Insurance Company	05-18-2015	Premium and Rating	Company Position Upheld	Unjustified	11066	11-10-2015
Merrimack Mutual Fire Insurance Company	06-02-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11072	15-06-2014
Merrimack Mutual Fire Insurance Company	06-29-2015	Underwriting	Non-Renewal Upheld	Unjustified	11072	29-03-2014
Merrimack Mutual Fire Insurance Company	07-10-2015	Unfair Claims Practice	Enter Arbitration	Unjustified	11066	24-05-2014
Merrimack Mutual Fire Insurance Company	08-03-2015	Unfair Claims Practice	Corrective Action	Questionable	12066	01-12-2016
Merrimack Mutual Fire Insurance Company	08-21-2015	Unfair Claims Practice	Refer To Appraisal	Unjustified	11072	18-09-2015
Merrimack Mutual Fire Insurance Company	09-02-2015	Underwriting	Non-Renewal Upheld	Unjustified	11067	09-07-2016
Merrimack Mutual Fire Insurance Company	09-02-2015	Unfair Claims Practice	Additional Money Received	Questionable	12074	12-02-2016
Merrimack Mutual Fire Insurance Company	01-15-2016	Underwriting	Non-Renewal Rescinded	Unjustified	11075	26-07-2013
Merrimack Mutual Fire Insurance Company	01-28-2016	Unfair Claims Practice	Additional Money Received	Justified	9079	24-02-2015
Merrimack Mutual Fire Insurance Company	03-16-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11077	14-09-2014
Merrimack Mutual Fire Insurance Company	05-18-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21075	05-08-2016
Merrimack Mutual Fire Insurance Company	06-02-2016	Marketing-Sales	Company Position Upheld	Unjustified	11072	23-07-2013
Merrimack Mutual Fire Insurance Company	09-26-2016	Marketing-Sales	Corrective Action	Unjustified	11071	15-06-2016
Merrimack Mutual Fire Insurance Company	10-17-2016	Marketing-Sales	Cancellation Withdrawn	No Action Necessary	19076	16-05-2016
Merrimack Mutual Fire Insurance Company	11-03-2016	Marketing-Sales	Company Position Upheld	Unjustified	11072	10-02-2015
Merrimack Mutual Fire Insurance Company	05-11-2017	Marketing-Sales	Furnished Information	Furnished Information	21070	31-08-2016
Merrimack Mutual Fire Insurance Company	05-19-2017	Marketing-Sales	Furnished Information	Furnished Information	21075	14-10-2016
Merrimack Mutual Fire Insurance Company	01-25-2016	Premium and Rating	Corrective Action	Unjustified	11071	06-10-2015
Merrimack Mutual Fire Insurance Company	08-01-2016	Premium and Rating	Company Position Upheld	Unjustified	11071	08-08-2016
Merrimack Mutual Fire Insurance Company	01-31-2018	Unfair Claims Practice	Claim Settled	Justified	9067	15-03-2016
Merrimack Mutual Fire Insurance Company	04-23-2015	Premium and Rating	Contract Provision	Unjustified	11072	28-12-2013
Merrimack Mutual Fire Insurance Company	05-12-2015	Premium and Rating	Contract Provision	Unjustified	11067	14-05-2016
Merrimack Mutual Fire Insurance Company	06-17-2016	Marketing-Sales	Company Position Upheld	Unjustified	11076	17-04-2014
Mesa Underwriters Specialty Insurance Company	03-22-2017	Marketing-Sales	Corrective Action	Unjustified	11077	09-05-2015
Mesa Underwriters Specialty Insurance Company	06-01-2015	Marketing-Sales	Corrective Action	Unjustified	11072	22-03-2014
Mesa Underwriters Specialty Insurance Company	11-04-2016	Premium and Rating	Company Position Upheld	Unjustified	11078	09-12-2014
Mesa Underwriters Specialty Insurance Company	07-01-2015	Underwriting	Company Position Upheld	Unjustified	11078	26-07-2015
Mesa Underwriters Specialty Insurance Company	06-03-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	05-04-2015
Mesa Underwriters Specialty Insurance Company	06-15-2018	Unfair Claims Practice	Furnished Information	Justified	9081	07-05-2017
Metropolitan Casualty Insurance Company	04-20-2015	Marketing-Sales	Complaint Withdrawn	No Action Necessary	19073	06-12-2013
Metropolitan Group Property and Casualty Insurance Company	05-06-2015	Unfair Claims Practice	Contract Provision	Furnished Information	21086	22-04-2013
Anthem Health Plans, Inc	10-08-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21055	07-01-2014
Metropolitan Group Property and Casualty Insurance Company	06-16-2016	Unfair Claims Practice	Contract Provision	Furnished Information	21091	12-11-2017
Metropolitan Group Property and Casualty Insurance Company	07-27-2016	Premium and Rating	Contract Provision	Unjustified	11091	20-03-2017
